Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
1000 ; 1000 ; 545 ; 287 ; 3743 ; 24000
1000 ; 1000 ; 517 ; 283 ; 3710 ; 24000
1000 ; 1000 ; 548 ; 304 ; 3794 ; 24000
1000 ; 1000 ; 530 ; 318 ; 3711 ; 24000
1000 ; 1000 ; 527 ; 298 ; 3626 ; 24000
4000 ; 1000 ; 670 ; 305 ; 5659 ; 24000
1000 ; 1000 ; 526 ; 333 ; 3745 ; 24000
4000 ; 1000 ; 643 ; 308 ; 5454 ; 24000
4000 ; 1000 ; 656 ; 297 ; 5507 ; 24000
4000 ; 1000 ; 640 ; 326 ; 5445 ; 24000
4000 ; 1000 ; 645 ; 305 ; 5589 ; 24000
4000 ; 1000 ; 651 ; 323 ; 5610 ; 24000
4000 ; 1000 ; 629 ; 294 ; 5521 ; 24000
4000 ; 1000 ; 643 ; 302 ; 5681 ; 24000
4000 ; 1000 ; 662 ; 316 ; 5565 ; 24000
4000 ; 1000 ; 617 ; 324 ; 5517 ; 24000
4000 ; 1000 ; 643 ; 312 ; 5577 ; 24000
4000 ; 1000 ; 628 ; 290 ; 5496 ; 24000
4000 ; 1000 ; 631 ; 310 ; 5473 ; 24000
4000 ; 1000 ; 635 ; 283 ; 5645 ; 24000
4000 ; 1000 ; 650 ; 314 ; 5599 ; 24000
4000 ; 1000 ; 657 ; 305 ; 5628 ; 24000
4000 ; 1000 ; 632 ; 315 ; 5466 ; 24000
4000 ; 1000 ; 652 ; 320 ; 5592 ; 24000
4000 ; 1000 ; 640 ; 301 ; 5451 ; 24000
800 ; 1000 ; 485 ; 311 ; 3282 ; 24000
4000 ; 1000 ; 657 ; 315 ; 5614 ; 24000
800 ; 1000 ; 505 ; 304 ; 3369 ; 24000
800 ; 1000 ; 507 ; 289 ; 3496 ; 24000
800 ; 1000 ; 524 ; 296 ; 3487 ; 24000
800 ; 1000 ; 498 ; 298 ; 3410 ; 24000
800 ; 1000 ; 476 ; 297 ; 3281 ; 24000
800 ; 1000 ; 540 ; 292 ; 3396 ; 24000
800 ; 1000 ; 492 ; 306 ; 3288 ; 24000
800 ; 1000 ; 505 ; 297 ; 3318 ; 24000
800 ; 1000 ; 494 ; 322 ; 3417 ; 24000
800 ; 1000 ; 482 ; 314 ; 3292 ; 24000
800 ; 1000 ; 492 ; 325 ; 3388 ; 24000
800 ; 1000 ; 515 ; 320 ; 3472 ; 24000
800 ; 1000 ; 466 ; 307 ; 3272 ; 24000
800 ; 1000 ; 494 ; 299 ; 3333 ; 24000
800 ; 1000 ; 514 ; 301 ; 3414 ; 24000
800 ; 1000 ; 489 ; 307 ; 3357 ; 24000
800 ; 1000 ; 484 ; 294 ; 3307 ; 24000
600 ; 1000 ; 481 ; 303 ; 3070 ; 24000
800 ; 1000 ; 500 ; 322 ; 3281 ; 24000
600 ; 1000 ; 484 ; 281 ; 3049 ; 24000
800 ; 1000 ; 503 ; 301 ; 3343 ; 24000
600 ; 1000 ; 484 ; 278 ; 3062 ; 24000
600 ; 1000 ; 479 ; 311 ; 3080 ; 24000
600 ; 1000 ; 513 ; 293 ; 3087 ; 24000
600 ; 1000 ; 484 ; 302 ; 3076 ; 24000
600 ; 1000 ; 462 ; 305 ; 3028 ; 24000
600 ; 1000 ; 464 ; 290 ; 2983 ; 24000
600 ; 1000 ; 489 ; 313 ; 3003 ; 24000
600 ; 1000 ; 493 ; 297 ; 3110 ; 24000
600 ; 1000 ; 503 ; 289 ; 3076 ; 24000
600 ; 1000 ; 460 ; 300 ; 2996 ; 24000
600 ; 1000 ; 445 ; 286 ; 2875 ; 24000
600 ; 1000 ; 501 ; 315 ; 3156 ; 24000
600 ; 1000 ; 495 ; 291 ; 3172 ; 24000
600 ; 1000 ; 471 ; 270 ; 3055 ; 24000
600 ; 1000 ; 494 ; 300 ; 3131 ; 24000
600 ; 1000 ; 480 ; 322 ; 3083 ; 24000
3600 ; 1000 ; 622 ; 285 ; 5238 ; 24000
600 ; 1000 ; 484 ; 277 ; 3095 ; 24000
3600 ; 1000 ; 609 ; 323 ; 5096 ; 24000
600 ; 1000 ; 488 ; 298 ; 3013 ; 24000
3600 ; 1000 ; 592 ; 287 ; 5103 ; 24000
3600 ; 1000 ; 649 ; 286 ; 5347 ; 24000
3600 ; 1000 ; 597 ; 308 ; 5040 ; 24000
3600 ; 1000 ; 597 ; 297 ; 5278 ; 24000
3600 ; 1000 ; 620 ; 297 ; 5142 ; 24000
3600 ; 1000 ; 614 ; 295 ; 5409 ; 24000
3600 ; 1000 ; 594 ; 304 ; 5065 ; 24000
3600 ; 1000 ; 637 ; 321 ; 5420 ; 24000
3600 ; 1000 ; 626 ; 322 ; 5147 ; 24000
3600 ; 1000 ; 637 ; 312 ; 5417 ; 24000
3600 ; 1000 ; 599 ; 315 ; 5036 ; 24000
3600 ; 1000 ; 649 ; 333 ; 5395 ; 24000
3600 ; 1000 ; 627 ; 281 ; 5127 ; 24000
3600 ; 1000 ; 642 ; 304 ; 5343 ; 24000
3600 ; 1000 ; 615 ; 298 ; 5142 ; 24000
3600 ; 1000 ; 634 ; 314 ; 5365 ; 24000
2200 ; 1000 ; 592 ; 274 ; 4517 ; 24000
3600 ; 1000 ; 624 ; 290 ; 5472 ; 24000
2200 ; 1000 ; 581 ; 297 ; 4538 ; 24000
3600 ; 1000 ; 637 ; 302 ; 5470 ; 24000
2200 ; 1000 ; 574 ; 290 ; 4598 ; 24000
2200 ; 1000 ; 580 ; 291 ; 4759 ; 24000
2200 ; 1000 ; 560 ; 314 ; 4475 ; 24000
2200 ; 1000 ; 608 ; 320 ; 4875 ; 24000
2200 ; 1000 ; 581 ; 307 ; 4396 ; 24000
2200 ; 1000 ; 592 ; 273 ; 4683 ; 24000
2200 ; 1000 ; 612 ; 313 ; 4693 ; 24000
2200 ; 1000 ; 560 ; 302 ; 4597 ; 24000
2200 ; 1000 ; 589 ; 325 ; 4693 ; 24000
2200 ; 1000 ; 556 ; 318 ; 4677 ; 24000
2200 ; 1000 ; 600 ; 313 ; 4806 ; 24000
2200 ; 1000 ; 571 ; 304 ; 4587 ; 24000
2200 ; 1000 ; 606 ; 304 ; 4745 ; 24000
2200 ; 1000 ; 597 ; 285 ; 4542 ; 24000
2200 ; 1000 ; 603 ; 324 ; 4655 ; 24000
4600 ; 1000 ; 655 ; 290 ; 5495 ; 24000
2200 ; 1000 ; 597 ; 306 ; 4766 ; 24000
4600 ; 1000 ; 642 ; 313 ; 5777 ; 24000
2200 ; 1000 ; 626 ; 308 ; 4876 ; 24000
4600 ; 1000 ; 629 ; 292 ; 5675 ; 24000
2200 ; 1000 ; 600 ; 313 ; 4766 ; 24000
4600 ; 1000 ; 627 ; 285 ; 5561 ; 24000
4600 ; 1000 ; 662 ; 311 ; 5806 ; 24000
4600 ; 1000 ; 657 ; 307 ; 5754 ; 24000
4600 ; 1000 ; 664 ; 280 ; 5811 ; 24000
4600 ; 1000 ; 667 ; 317 ; 5733 ; 24000
4600 ; 1000 ; 663 ; 299 ; 5649 ; 24000
4600 ; 1000 ; 672 ; 319 ; 5724 ; 24000
4600 ; 1000 ; 662 ; 295 ; 5723 ; 24000
4600 ; 1000 ; 630 ; 312 ; 5626 ; 24000
4600 ; 1000 ; 665 ; 333 ; 5796 ; 24000
4600 ; 1000 ; 655 ; 332 ; 5704 ; 24000
4600 ; 1000 ; 650 ; 296 ; 5669 ; 24000
4600 ; 1000 ; 636 ; 322 ; 5666 ; 24000
4600 ; 1000 ; 662 ; 310 ; 5852 ; 24000
2000 ; 1000 ; 579 ; 296 ; 4430 ; 24000
4600 ; 1000 ; 665 ; 295 ; 5910 ; 24000
2000 ; 1000 ; 578 ; 303 ; 4477 ; 24000
4600 ; 1000 ; 633 ; 294 ; 5689 ; 24000
2000 ; 1000 ; 579 ; 314 ; 4437 ; 24000
