Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
126000 ; 1000 ; 839 ; 301 ; 13547 ; 24000
126000 ; 1000 ; 825 ; 296 ; 13458 ; 24000
126000 ; 1000 ; 817 ; 272 ; 13645 ; 24000
126000 ; 1000 ; 839 ; 283 ; 13599 ; 24000
122000 ; 1000 ; 830 ; 313 ; 13587 ; 24000
122000 ; 1000 ; 833 ; 283 ; 13517 ; 24000
122000 ; 1000 ; 832 ; 312 ; 13473 ; 24000
122000 ; 1000 ; 819 ; 306 ; 13380 ; 24000
122000 ; 1000 ; 828 ; 287 ; 13666 ; 24000
122000 ; 1000 ; 845 ; 316 ; 13569 ; 24000
122000 ; 1000 ; 845 ; 299 ; 13566 ; 24000
122000 ; 1000 ; 837 ; 295 ; 13555 ; 24000
122000 ; 1000 ; 835 ; 302 ; 13579 ; 24000
122000 ; 1000 ; 845 ; 314 ; 13594 ; 24000
160000 ; 1000 ; 844 ; 308 ; 13936 ; 24000
160000 ; 1000 ; 839 ; 305 ; 13839 ; 24000
160000 ; 1000 ; 842 ; 293 ; 13831 ; 24000
160000 ; 1000 ; 829 ; 306 ; 13776 ; 24000
160000 ; 1000 ; 829 ; 305 ; 13752 ; 24000
160000 ; 1000 ; 833 ; 290 ; 13680 ; 24000
160000 ; 1000 ; 836 ; 315 ; 13924 ; 24000
160000 ; 1000 ; 826 ; 284 ; 13769 ; 24000
160000 ; 1000 ; 822 ; 279 ; 13779 ; 24000
160000 ; 1000 ; 827 ; 309 ; 13667 ; 24000
166000 ; 1000 ; 847 ; 301 ; 13920 ; 24000
166000 ; 1000 ; 848 ; 306 ; 13874 ; 24000
166000 ; 1000 ; 846 ; 299 ; 13853 ; 24000
166000 ; 1000 ; 864 ; 320 ; 13912 ; 24000
166000 ; 1000 ; 839 ; 290 ; 13783 ; 24000
166000 ; 1000 ; 844 ; 291 ; 13945 ; 24000
166000 ; 1000 ; 858 ; 308 ; 13872 ; 24000
166000 ; 1000 ; 819 ; 301 ; 13899 ; 24000
166000 ; 1000 ; 861 ; 321 ; 13768 ; 24000
166000 ; 1000 ; 859 ; 292 ; 13850 ; 24000
150000 ; 1000 ; 836 ; 298 ; 13788 ; 24000
150000 ; 1000 ; 835 ; 291 ; 13788 ; 24000
150000 ; 1000 ; 835 ; 304 ; 13873 ; 24000
150000 ; 1000 ; 822 ; 323 ; 13793 ; 24000
150000 ; 1000 ; 843 ; 302 ; 13695 ; 24000
150000 ; 1000 ; 832 ; 296 ; 13774 ; 24000
150000 ; 1000 ; 821 ; 302 ; 13708 ; 24000
150000 ; 1000 ; 830 ; 317 ; 13665 ; 24000
150000 ; 1000 ; 845 ; 295 ; 13768 ; 24000
150000 ; 1000 ; 830 ; 300 ; 13620 ; 24000
114000 ; 1000 ; 846 ; 318 ; 13402 ; 24000
114000 ; 1000 ; 843 ; 292 ; 13470 ; 24000
114000 ; 1000 ; 832 ; 279 ; 13452 ; 24000
114000 ; 1000 ; 831 ; 301 ; 13392 ; 24000
114000 ; 1000 ; 833 ; 280 ; 13442 ; 24000
114000 ; 1000 ; 832 ; 324 ; 13389 ; 24000
114000 ; 1000 ; 844 ; 287 ; 13476 ; 24000
114000 ; 1000 ; 832 ; 308 ; 13398 ; 24000
114000 ; 1000 ; 845 ; 273 ; 13549 ; 24000
114000 ; 1000 ; 857 ; 297 ; 13431 ; 24000
162000 ; 1000 ; 842 ; 310 ; 13811 ; 24000
162000 ; 1000 ; 829 ; 298 ; 13843 ; 24000
162000 ; 1000 ; 839 ; 296 ; 13760 ; 24000
162000 ; 1000 ; 852 ; 310 ; 13710 ; 24000
162000 ; 1000 ; 853 ; 297 ; 13911 ; 24000
162000 ; 1000 ; 856 ; 309 ; 13800 ; 24000
162000 ; 1000 ; 832 ; 307 ; 13667 ; 24000
162000 ; 1000 ; 835 ; 320 ; 13766 ; 24000
162000 ; 1000 ; 832 ; 323 ; 13836 ; 24000
162000 ; 1000 ; 851 ; 305 ; 13844 ; 24000
148000 ; 1000 ; 839 ; 325 ; 13717 ; 24000
148000 ; 1000 ; 867 ; 322 ; 13620 ; 24000
148000 ; 1000 ; 837 ; 313 ; 13607 ; 24000
148000 ; 1000 ; 844 ; 314 ; 13745 ; 24000
148000 ; 1000 ; 853 ; 297 ; 13858 ; 24000
148000 ; 1000 ; 857 ; 282 ; 13835 ; 24000
148000 ; 1000 ; 844 ; 334 ; 13744 ; 24000
148000 ; 1000 ; 832 ; 345 ; 13647 ; 24000
148000 ; 1000 ; 822 ; 317 ; 13607 ; 24000
148000 ; 1000 ; 838 ; 295 ; 13711 ; 24000
158000 ; 1000 ; 836 ; 318 ; 13773 ; 24000
158000 ; 1000 ; 859 ; 317 ; 13779 ; 24000
158000 ; 1000 ; 825 ; 318 ; 13820 ; 24000
158000 ; 1000 ; 845 ; 317 ; 13908 ; 24000
158000 ; 1000 ; 824 ; 303 ; 13695 ; 24000
158000 ; 1000 ; 827 ; 301 ; 13776 ; 24000
158000 ; 1000 ; 830 ; 312 ; 13686 ; 24000
158000 ; 1000 ; 846 ; 311 ; 13779 ; 24000
158000 ; 1000 ; 836 ; 291 ; 13807 ; 24000
158000 ; 1000 ; 840 ; 315 ; 13762 ; 24000
332000 ; 1000 ; 860 ; 300 ; 14735 ; 24000
132000 ; 1000 ; 835 ; 264 ; 13565 ; 24000
332000 ; 1000 ; 845 ; 331 ; 14572 ; 24000
132000 ; 1000 ; 819 ; 296 ; 13601 ; 24000
332000 ; 1000 ; 864 ; 294 ; 14717 ; 24000
332000 ; 1000 ; 843 ; 283 ; 14600 ; 24000
132000 ; 1000 ; 824 ; 281 ; 13598 ; 24000
332000 ; 1000 ; 844 ; 297 ; 14669 ; 24000
132000 ; 1000 ; 852 ; 295 ; 13605 ; 24000
332000 ; 1000 ; 848 ; 299 ; 14586 ; 24000
132000 ; 1000 ; 838 ; 305 ; 13666 ; 24000
332000 ; 1000 ; 850 ; 272 ; 14615 ; 24000
132000 ; 1000 ; 841 ; 290 ; 13579 ; 24000
332000 ; 1000 ; 855 ; 293 ; 14667 ; 24000
132000 ; 1000 ; 831 ; 322 ; 13595 ; 24000
332000 ; 1000 ; 843 ; 298 ; 14674 ; 24000
132000 ; 1000 ; 849 ; 310 ; 13603 ; 24000
332000 ; 1000 ; 854 ; 300 ; 14667 ; 24000
132000 ; 1000 ; 843 ; 329 ; 13527 ; 24000
132000 ; 1000 ; 814 ; 298 ; 13534 ; 24000
184000 ; 1000 ; 851 ; 332 ; 13969 ; 24000
426000 ; 1000 ; 854 ; 303 ; 14986 ; 24000
184000 ; 1000 ; 837 ; 278 ; 13891 ; 24000
426000 ; 1000 ; 850 ; 310 ; 14882 ; 24000
184000 ; 1000 ; 830 ; 323 ; 14063 ; 24000
426000 ; 1000 ; 851 ; 332 ; 14920 ; 24000
184000 ; 1000 ; 851 ; 294 ; 13897 ; 24000
426000 ; 1000 ; 872 ; 299 ; 15020 ; 24000
426000 ; 1000 ; 859 ; 293 ; 14903 ; 24000
184000 ; 1000 ; 806 ; 301 ; 13807 ; 24000
426000 ; 1000 ; 863 ; 287 ; 14963 ; 24000
184000 ; 1000 ; 842 ; 294 ; 13965 ; 24000
426000 ; 1000 ; 849 ; 293 ; 14890 ; 24000
184000 ; 1000 ; 841 ; 301 ; 13868 ; 24000
426000 ; 1000 ; 848 ; 280 ; 14978 ; 24000
184000 ; 1000 ; 855 ; 315 ; 13934 ; 24000
426000 ; 1000 ; 824 ; 337 ; 14796 ; 24000
184000 ; 1000 ; 840 ; 287 ; 13882 ; 24000
426000 ; 1000 ; 859 ; 302 ; 14964 ; 24000
184000 ; 1000 ; 833 ; 315 ; 13966 ; 24000
52000 ; 1000 ; 835 ; 284 ; 12595 ; 24000
52000 ; 1000 ; 830 ; 312 ; 12672 ; 24000
198000 ; 1000 ; 852 ; 303 ; 14044 ; 24000
52000 ; 1000 ; 837 ; 312 ; 12493 ; 24000
198000 ; 1000 ; 828 ; 319 ; 14008 ; 24000
52000 ; 1000 ; 861 ; 284 ; 12734 ; 24000
198000 ; 1000 ; 852 ; 282 ; 14027 ; 24000
52000 ; 1000 ; 839 ; 275 ; 12561 ; 24000
198000 ; 1000 ; 867 ; 312 ; 14099 ; 24000
52000 ; 1000 ; 838 ; 296 ; 12563 ; 24000
198000 ; 1000 ; 808 ; 295 ; 13989 ; 24000
52000 ; 1000 ; 841 ; 299 ; 12697 ; 24000
198000 ; 1000 ; 829 ; 265 ; 13973 ; 24000
52000 ; 1000 ; 852 ; 306 ; 12765 ; 24000
52000 ; 1000 ; 851 ; 309 ; 12626 ; 24000
198000 ; 1000 ; 848 ; 297 ; 14087 ; 24000
52000 ; 1000 ; 860 ; 324 ; 12608 ; 24000
198000 ; 1000 ; 844 ; 295 ; 14013 ; 24000
198000 ; 1000 ; 855 ; 301 ; 14089 ; 24000
74000 ; 1000 ; 858 ; 294 ; 13137 ; 24000
198000 ; 1000 ; 827 ; 309 ; 14028 ; 24000
74000 ; 1000 ; 857 ; 265 ; 13089 ; 24000
74000 ; 1000 ; 855 ; 298 ; 13089 ; 24000
74000 ; 1000 ; 846 ; 301 ; 13049 ; 24000
196000 ; 1000 ; 844 ; 303 ; 13950 ; 24000
74000 ; 1000 ; 851 ; 305 ; 13068 ; 24000
196000 ; 1000 ; 824 ; 287 ; 13907 ; 24000
74000 ; 1000 ; 836 ; 304 ; 12954 ; 24000
196000 ; 1000 ; 831 ; 305 ; 14005 ; 24000
74000 ; 1000 ; 856 ; 301 ; 13029 ; 24000
